Country Name,Country Code,Series Name,Series Code,2016,2017,2018,2019,2020
French Polynesia,PYF,"Population, total",SP.POP.TOTL,274576,276108,277673,279285,280904
Gabon,GAB,"Population, total",SP.POP.TOTL,2007882,2064812,2119275,2172578,2225728
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2149134,2213900,2280092,2347696,2416664
Georgia,GEO,"Population, total",SP.POP.TOTL,3727505,3728004,3726549,3720161,3714000
Germany,DEU,"Population, total",SP.POP.TOTL,82348669,82657002,82905782,83092962,83240525
Ghana,GHA,"Population, total",SP.POP.TOTL,28481947,29121464,29767108,30417858,31072945
Gibraltar,GIB,"Population, total",SP.POP.TOTL,33738,33723,33715,33706,33691
Greece,GRC,"Population, total",SP.POP.TOTL,10775971,10754679,10732882,10721582,10715549
Greenland,GRL,"Population, total",SP.POP.TOTL,56186,56172,56023,56225,56367
Grenada,GRD,"Population, total",SP.POP.TOTL,110263,110874,111449,112002,112519
Guam,GUM,"Population, total",SP.POP.TOTL,162948,164281,165770,167295,168783
Guatemala,GTM,"Population, total",SP.POP.TOTL,15827690,16087418,16346950,16604026,16858333
Guinea,GIN,"Population, total",SP.POP.TOTL,11738434,12067516,12414292,12771246,13132792
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1782434,1828146,1874304,1920917,1967998
Guyana,GUY,"Population, total",SP.POP.TOTL,771363,775218,779007,782775,786559
Haiti,HTI,"Population, total",SP.POP.TOTL,10839976,10982367,11123183,11263079,11402533
Honduras,HND,"Population, total",SP.POP.TOTL,9270794,9429016,9587523,9746115,9904608
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7336600,7391700,7451000,7507400,7481800
Hungary,HUN,"Population, total",SP.POP.TOTL,9814023,9787966,9775564,9771141,9749763
Iceland,ISL,"Population, total",SP.POP.TOTL,335439,343400,352721,360563,366425
India,IND,"Population, total",SP.POP.TOTL,1324517250,1338676779,1352642283,1366417756,1380004385
Indonesia,IDN,"Population, total",SP.POP.TOTL,261556386,264650969,267670549,270625567,273523621
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,79563991,80673888,81800204,82913893,83992953
Iraq,IRQ,"Population, total",SP.POP.TOTL,36610632,37552789,38433604,39309789,40222503
Ireland,IRL,"Population, total",SP.POP.TOTL,4755335,4807388,4867316,4934340,4994724
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83296,83610,84073,84589,85032
Israel,ISR,"Population, total",SP.POP.TOTL,8546000,8713300,8882800,9054000,9216900
Italy,ITA,"Population, total",SP.POP.TOTL,60627498,60536709,60421760,59729081,59554023
Jamaica,JAM,"Population, total",SP.POP.TOTL,2906242,2920848,2934853,2948277,2961161
Japan,JPN,"Population, total",SP.POP.TOTL,126994511,126785797,126529100,126264931,125836021
Jordan,JOR,"Population, total",SP.POP.TOTL,9554286,9785840,9965322,10101697,10203140
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,17794055,18037776,18276452,18513673,18754440
Kenya,KEN,"Population, total",SP.POP.TOTL,49051531,50221146,51392570,52573967,53771300
Kiribati,KIR,"Population, total",SP.POP.TOTL,112529,114153,115842,117608,119446
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25307665,25429816,25549606,25666158,25778815
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51217803,51361911,51606633,51709098,51780579
Kosovo,XKX,"Population, total",SP.POP.TOTL,1777557,1791003,1797085,1788878,1775378
Kuwait,KWT,"Population, total",SP.POP.TOTL,3956862,4056102,4137314,4207077,4270563
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6079500,6198200,6322800,6456200,6591600
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6845848,6953031,7061498,7169456,7275556
Latvia,LVA,"Population, total",SP.POP.TOTL,1959537,1942248,1927174,1913822,1901548
Lebanon,LBN,"Population, total",SP.POP.TOTL,6714281,6819373,6859408,6855709,6825442
Lesotho,LSO,"Population, total",SP.POP.TOTL,2075041,2091532,2108327,2125267,2142252
Liberia,LBR,"Population, total",SP.POP.TOTL,4586788,4702224,4818976,4937374,5057677
Libya,LBY,"Population, total",SP.POP.TOTL,6492160,6580723,6678565,6777453,6871287
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37655,37805,37918,38020,38137
Lithuania,LTU,"Population, total",SP.POP.TOTL,2868231,2828403,2801543,2794137,2794700
Luxembourg,LUX,"Population, total",SP.POP.TOTL,582014,596336,607950,620001,632275
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,612824,622578,631633,640446,649342
Madagascar,MDG,"Population, total",SP.POP.TOTL,24894370,25570511,26262313,26969306,27691019
Malawi,MWI,"Population, total",SP.POP.TOTL,17205253,17670193,18143215,18628749,19129955
Malaysia,MYS,"Population, total",SP.POP.TOTL,30684652,31104655,31528033,31949789,32365998
Maldives,MDV,"Population, total",SP.POP.TOTL,475505,496398,515704,530957,540542
Mali,MLI,"Population, total",SP.POP.TOTL,17965448,18512429,19077755,19658023,20250834
Malta,MLT,"Population, total",SP.POP.TOTL,455356,467999,484630,504062,525285
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,57723,58053,58412,58791,59194
Mauritania,MRT,"Population, total",SP.POP.TOTL,4163532,4282582,4403312,4525698,4649660
Mauritius,MUS,"Population, total",SP.POP.TOTL,1263473,1264613,1265303,1265711,1265740
Mexico,MEX,"Population, total",SP.POP.TOTL,123333379,124777326,126190782,127575529,128932753
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,110215,111461,112640,113811,115021
Moldova,MDA,"Population, total",SP.POP.TOTL,2802170,2755158,2708214,2664974,2620495
Monaco,MCO,"Population, total",SP.POP.TOTL,38070,38392,38682,38967,39244
Mongolia,MNG,"Population, total",SP.POP.TOTL,3056358,3113788,3170214,3225166,3278292
Montenegro,MNE,"Population, total",SP.POP.TOTL,622303,622373,622227,622028,621306
Morocco,MAR,"Population, total",SP.POP.TOTL,35126274,35581257,36029089,36471766,36910558
Mozambique,MOZ,"Population, total",SP.POP.TOTL,27829930,28649007,29496009,30366043,31255435
Myanmar,MMR,"Population, total",SP.POP.TOTL,53045199,53382521,53708318,54045422,54409794
Namibia,NAM,"Population, total",SP.POP.TOTL,2358044,2402623,2448300,2494524,2540916
Nauru,NRU,"Population, total",SP.POP.TOTL,10474,10577,10678,10764,10834
Nepal,NPL,"Population, total",SP.POP.TOTL,27263430,27632682,28095712,28608715,29136808
Netherlands,NLD,"Population, total",SP.POP.TOTL,17030314,17131296,17231624,17344874,17441139
New Caledonia,NCL,"Population, total",SP.POP.TOTL,269350,270000,270650,271300,271960
New Zealand,NZL,"Population, total",SP.POP.TOTL,4714100,4813600,4900600,4979300,5084300
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6303970,6384843,6465502,6545503,6624554
Niger,NER,"Population, total",SP.POP.TOTL,20788789,21602388,22442831,23310719,24206636
Nigeria,NGA,"Population, total",SP.POP.TOTL,185960244,190873247,195874685,200963603,206139587
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2072490,2074502,2076217,2076694,2072531
