"CountryName","CountryCode","2017","2018","2019","2020","region","income"
"Greenland","GRL",56172,56023,56225,56367,"europecentralasia","high"
"Grenada","GRD",110874,111449,112002,112519,"latinamericacaribbean","uppermiddle"
"Guam","GUM",164281,165770,167295,168783,"eastasia_pacific","high"
"Guatemala","GTM",16087418,16346950,16604026,16858333,"latinamericacaribbean","uppermiddle"
"Guinea","GIN",12067516,12414292,12771246,13132792,"subsaharianafrica","low"
"Guinea-Bissau","GNB",1828146,1874304,1920917,1967998,"subsaharianafrica","low"
"Guyana","GUY",775218,779007,782775,786559,"latinamericacaribbean","uppermiddle"
"Haiti","HTI",10982367,11123183,11263079,11402533,"latinamericacaribbean","lowermiddle"
"Honduras","HND",9429016,9587523,9746115,9904608,"latinamericacaribbean","lowermiddle"
"Hong Kong SAR, China","HKG",7391700,7451000,7507400,7481800,"eastasia_pacific","high"
"Hungary","HUN",9787966,9775564,9771141,9749763,"europecentralasia","high"
"Iceland","ISL",343400,352721,360563,366425,"europecentralasia","high"
"India","IND",1338676779,1352642283,1366417756,1380004385,"southasia","lowermiddle"
"Indonesia","IDN",264650969,267670549,270625567,273523621,"eastasia_pacific","lowermiddle"
"Iran, Islamic Rep.","IRN",80673888,81800204,82913893,83992953,"middleeastnafrica","lowermiddle"
"Iraq","IRQ",37552789,38433604,39309789,40222503,"middleeastnafrica","uppermiddle"
"Ireland","IRL",4807388,4867316,4934340,4994724,"europecentralasia","high"
"Isle of Man","IMN",83610,84073,84589,85032,"europecentralasia","high"
"Israel","ISR",8713300,8882800,9054000,9216900,"middleeastnafrica","high"
"Italy","ITA",60536709,60421760,59729081,59554023,"europecentralasia","high"
"Jamaica","JAM",2920848,2934853,2948277,2961161,"latinamericacaribbean","uppermiddle"
"Japan","JPN",126785797,126529100,126264931,125836021,"eastasia_pacific","high"
"Jordan","JOR",9785840,9965322,10101697,10203140,"middleeastnafrica","uppermiddle"
"Kazakhstan","KAZ",18037776,18276452,18513673,18754440,"europecentralasia","uppermiddle"
"Kenya","KEN",50221146,51392570,52573967,53771300,"subsaharianafrica","lowermiddle"
"Kiribati","KIR",114153,115842,117608,119446,"eastasia_pacific","lowermiddle"
"Korea, Dem. People's Rep.","PRK",25429816,25549606,25666158,25778815,"eastasia_pacific","low"
"Korea, Rep.","KOR",51361911,51606633,51709098,51780579,"eastasia_pacific","high"
"Kosovo","XKX",1791003,1797085,1788878,1775378,"europecentralasia","uppermiddle"
"Kuwait","KWT",4056102,4137314,4207077,4270563,"middleeastnafrica","high"
"Kyrgyz Republic","KGZ",6198200,6322800,6456200,6591600,"europecentralasia","lowermiddle"
"Lao PDR","LAO",6953031,7061498,7169456,7275556,"eastasia_pacific","lowermiddle"
"Latvia","LVA",1942248,1927174,1913822,1901548,"europecentralasia","high"
"Lebanon","LBN",6819373,6859408,6855709,6825442,"middleeastnafrica","uppermiddle"
"Lesotho","LSO",2091532,2108327,2125267,2142252,"subsaharianafrica","lowermiddle"
"Liberia","LBR",4702224,4818976,4937374,5057677,"subsaharianafrica","low"
"Libya","LBY",6580723,6678565,6777453,6871287,"middleeastnafrica","uppermiddle"
"Liechtenstein","LIE",37805,37918,38020,38137,"europecentralasia","high"
