Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0217232356540141,0.184955756611719,0.111562661455705,0.105130154944915,0.0886561304133523,0.097091478446803,0.349718425137364,0.603313301445307,1.70076889286821,0.173127115119192,0.203725059530665,1.29325828901818,1.9733066698771,1.82475490320263,2.58868403929088,4.37936083511966,12.8205281680644,17.114728063734,6.43477620437971,5.30635840915111,4.16327264590379
Africa Eastern and Southern,AFE,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,18.8079640751206,,,,14.3722917125524,12.630698520819,4.68449069412704,5.20813711638583,,,,,,,,,,,,,,,,10.3668113663016,,18.4698582448094,11.3133195108096,19.8438057233785,12.8714839439035,17.7012185330208,19.6742313126307,20.595251405437,25.5331422429342,22.2729819154381,26.1809057049706,20.3270659976913,21.6501109749828,21.8439189904902,20.1034342957336,20.3369364818631,19.7953100185536,20.5057414371086,19.1258920076723,19.6730531058436,20.0027275574001,22.8486617447061,30.4772448474652
Afghanistan,AFG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,0.0721230987705362,0.0749262608150336,,,,,,,0.0654570597940185,,0.000120402639268663,0.00120959845684642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137976802486954,0.275244541510738,0.305786388425507,,,,1.06525272819338,1.12452208638717,0.83809143240314,1.20988438299409,2.19992082361408,
Africa Western and Central,AFW,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,4.4319386832069,7.51997923257021,8.4961045913912,8.95262248723462,9.38762990708783,9.07033446262565,8.71610058713874,7.50850030686675,6.31008339520346,6.32889757862964,5.452032453689,3.72295518773341,3.85775124042818,4.25755905270158,4.48600361241228,4.41165854545148,4.77295825828454,4.18015145706031,,5.93403565367394,,2.92691537998192,,,,,,,,,,,,,4.02990416633014,4.74718541529832,3.73097212909659,3.53483258179361,4.10463183183,4.18437841299906,3.43288330776563,2.1831163623974,,,2.36055598689792,3.67154746754996,3.61215216315404,1.9094134306786,2.55108138640016,1.87180129518686,1.63862343116611,3.13969972468656,3.4042769909653,2.8598658738499,2.44986417321075,1.97904328946034,2.04554918385509,2.25104095839652,
Angola,AGO,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.87910351086917,,,,,,,12.1507729058846,12.1220461768477,10.1297315544077,7.76427427112911,6.70517230949005,4.14612510455178,,,,0.0746907067539707,0.0579575801792828,0.103770390935114,0.22316565461298,,,,,,,,,6.22259790016432,4.85604896004024,,,,,,,,,,,,,,,,2.67542615278011,,2.00203146976006,2.03762924921367,1.82030992034358,1.56671569764974,1.7073114724165,2.18366736282803,3.2439213623125,3.5430584083964,3.28881119925662,2.85933459569756,3.53214844675367,
Albania,ALB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5926724587052,9.3259391302539,12.5983303691208,3.91057422218601,3.7179233054858,2.91299499497097,3.43255983968605,4.09518729937779,5.55303918360657,24.1407825764506,37.8643455707951,13.5569907237149,32.5785999819577,9.55255184104464,12.8160980293912,11.8992060755054,10.9118331996018,9.78060027064005,4.58216014292409,7.54584273709423,8.80533262643442,5.05886889872078,2.02773335563243,3.10433631709679,4.04093823999418
Andorra,AND,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28774093082588,2.18180773109279,1.66116587733965,1.51417337793656,2.1112519505349,2.19826613149543,2.32001965157747,2.14867273955292,2.35995314121409,2.56704139737746,2.18896354486335,1.82200271689541,2.86275108752025,3.61330167576776,2.8771000294632,4.28347075976846,3.45045815564834,3.60995738692619,3.23122244546925,3.9969773546561,4.50860643403967,2.41509394012002,2.6522441133099,3.21302851208744,,
Arab World,ARB,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,2.31320775190513,2.96679859009828,,,,,,,,,,,,34.6139499243775,28.7291200088501,22.9596736160587,,,,,,2.4377679053909,2.1968752104048,2.44516150784513,1.81485000417548,1.69833444548615,1.38934246055418,2.05221056216139,1.38974678048152,1.3777439591988,1.69128233465773,1.39761146550218,1.56829309110947,1.71178890146702,2.25961479027015,2.01298225151022,2.54767781478919,3.41121830265211,3.71960173150508,3.919367812096,4.13928561888644,3.23962049486735,2.85686208676994
United Arab Emirates,ARE,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,0.0309864749844809,0.0249046521644514,,,,42.4517103937437,,,,,,,,78.0927765118536,67.7339781897313,54.886383240713,,,,,,4.01040426808986,3.17123176217688,3.70983529958869,2.058972392629,1.70610997692075,1.07668388293058,0.968747921724651,1.37797638535551,1.21861592049709,0.91452342479419,0.862793092737603,1.02364675862417,1.13331007504308,1.61864435665026,1.98932135553398,3.27214950258038,4.5236812180726,4.88854843457482,5.35539695434328,6.00650339873523,3.77334771669109,3.41159960034947
Argentina,ARG,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.813335466392559,0.8338185685096,0.500304019044815,0.268986496528575,0.286643986534945,0.468486610902632,0.645334987792454,0.51577515245482,0.471868854172276,0.529028631535198,0.463152579210259,0.376045074874961,0.47533124127035,0.298571509046831,0.301816725317076,0.266728514132532,0.56833148852063,0.962451116340407,2.1729330219299,1.75455167719082,1.58668728647961,1.30530313653764,1.30632882062616,1.7241380649244,1.82566668529541,2.41126818011,,,,,1.16809954166824,1.15900037878705,1.31190920146745,1.6319182010604,1.16622888074536,1.54525234767863,2.72640652681059,3.27440510617291,2.95260482914875,3.05270707923539,3.86643385692681,3.00518542990703,3.91732292241496,3.21539774249875,4.22283436478006,3.81560736609633,3.20115090870339,3.75718172866516,4.29137515419331,3.9387659483685,4.06073948283846,3.17808818156715,3.2643771037971,2.74931572945724,3.21486759943083,3.1902579096774,0.475469083748085,0.440474605599592,0.217988920355746
